TRUE_PROBABILITY,EVAL_QUBITS,TRIAL,QAE_ERROR,MC_ERROR,ORACLE_CALLS
0.1,15,4,1.149520359025602e-06,0.0001760917996764949,3276700
0.1,15,5,1.72483962392056e-06,8.270516067994393e-05,3276700
0.1,15,6,1.149520359025602e-06,2.9908139286480284e-05,3276700
0.1,15,7,5.743481622660918e-07,4.0894802697838406e-05,3276700
0.1,15,8,1.149520359025602e-06,8.972441785944085e-05,3276700
0.1,15,9,1.1495203590394798e-06,4.150517288735445e-05,3276700
0.1,17,0,1.4431830441807847e-07,0.0001544964179719388,13107100
0.1,17,1,1.5809960218771124e-06,0.00014885062294481277,13107100
0.1,17,2,1.1495203590394798e-06,1.7395152245733292e-05,13107100
0.1,17,3,1.580851203289435e-06,4.18094010116582e-05,13107100
0.1,17,4,1.2933363884443105e-06,8.789129555736297e-05,13107100
0.1,17,5,8.619250675689916e-07,4.1427928374693224e-05,13107100
0.1,17,6,1.5810327862741946e-06,1.495372736913525e-05,13107100
0.1,17,7,5.901614210698791e-06,2.0523227868871063e-05,13107100
0.1,17,8,6.318033234281595e-06,4.501377116220007e-05,13107100
0.1,17,9,8.619158758244039e-07,2.082840597843194e-05,13107100
0.1,19,0,1.6196936114820648e-05,7.732406105816214e-05,52428700
0.1,19,1,5.383605438530337e-07,7.4482106174667e-05,52428700
0.1,19,2,1.4385361694069232e-06,8.716599877556241e-06,52428700
0.1,19,3,6.102788999429176e-07,2.090458088793712e-05,52428700
0.1,19,4,3.243695975152505e-07,4.3926322796483674e-05,52428700
0.1,19,5,2.08543310176168e-06,2.0732919183572007e-05,52428700
0.1,19,6,4.678380135930693e-07,7.495894424239258e-06,52428700
0.1,19,7,2.1531533717089602e-07,1.0261555216897755e-05,52428700
0.1,19,8,2.1500514246763913e-07,2.254490384083485e-05,52428700
0.1,19,9,7.18176826189354e-07,1.0433216921262867e-05,52428700
0.05,3,0,0.1517588386092959,0.009999999999999995,700
0.05,3,1,0.1646877707974304,0.0028571428571428567,700
0.05,3,2,0.1305456351736995,0.0014285714285714249,700
0.05,3,3,0.14443650813895959,0.011428571428571427,700
0.05,3,4,0.12054563517369947,0.027142857142857135,700
0.05,3,5,0.08529437251522863,0.007142857142857145,700
0.05,3,6,0.11882990642116135,0.011428571428571434,700
0.05,3,7,0.1470101012677667,0.004285714285714282,700
0.05,3,8,0.09554563517369945,0.0,700
0.05,3,9,0.09786796564403578,0.018571428571428572,700
0.05,5,0,0.00899743472521257,0.005806451612903225,3100
0.05,5,1,0.007100085658267294,0.00483870967741936,3100
0.05,5,2,0.00700209282979334,0.0003225806451612953,3100
0.05,5,3,0.004817385023029766,0.002903225806451609,3100
0.05,5,4,0.027684318325453025,0.007096774193548386,3100
0.05,5,5,0.0034736573561483727,0.004838709677419353,3100
0.05,5,6,0.0032483500072723534,0.00032258064516128837,3100
0.05,5,7,0.0072784529995760724,0.0,3100
0.05,5,8,0.012967395048707767,0.0003225806451612953,3100
0.05,5,9,0.016003702094507355,0.0012903225806451604,3100
0.05,7,0,0.0008172257458717719,0.0017322834645669347,12700
0.05,7,1,0.0014745110896337912,0.003385826771653541,12700
0.05,7,2,0.0002261542552318349,0.000314960629921264,12700
0.05,7,3,0.00041550913305752474,0.0011023622047244067,12700
0.05,7,4,0.0019333063444813003,0.002677165354330706,12700
0.05,7,5,0.0003216352969208497,0.002125984251968499,12700
0.05,7,6,0.0037124208671196063,0.00015748031496063547,12700
0.05,7,7,0.0019710708387941367,0.000314960629921264,12700
0.05,7,8,0.000400070847811608,0.0012598425196850421,12700
0.05,7,9,0.002126614186925932,0.005039370078740162,12700
